ep=500, lr=0.30, max_depth=3, gamma=0.05, ntree=3, colsample_bytree=1.00: acc=0.6190. (Best = 0.6190)

ep=500, lr=0.30, max_depth=3, gamma=0.05, ntree=6, colsample_bytree=1.00: acc=0.7143. (Best = 0.7143)

ep=500, lr=0.30, max_depth=3, gamma=0.05, ntree=9, colsample_bytree=1.00: acc=0.6190. (Best = 0.7143)

ep=500, lr=0.30, max_depth=3, gamma=0.20, ntree=3, colsample_bytree=1.00: acc=0.6190. (Best = 0.7143)

ep=500, lr=0.30, max_depth=3, gamma=0.20, ntree=6, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=3, gamma=0.20, ntree=9, colsample_bytree=1.00: acc=0.6190. (Best = 0.7143)

ep=500, lr=0.30, max_depth=6, gamma=0.05, ntree=3, colsample_bytree=1.00: acc=0.7143. (Best = 0.7143)

ep=500, lr=0.30, max_depth=6, gamma=0.05, ntree=6, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=6, gamma=0.05, ntree=9, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=6, gamma=0.20, ntree=3, colsample_bytree=1.00: acc=0.5714. (Best = 0.7143)

ep=500, lr=0.30, max_depth=6, gamma=0.20, ntree=6, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=6, gamma=0.20, ntree=9, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=9, gamma=0.05, ntree=3, colsample_bytree=1.00: acc=0.7143. (Best = 0.7143)

ep=500, lr=0.30, max_depth=9, gamma=0.05, ntree=6, colsample_bytree=1.00: acc=0.5238. (Best = 0.7143)

ep=500, lr=0.30, max_depth=9, gamma=0.05, ntree=9, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=9, gamma=0.20, ntree=3, colsample_bytree=1.00: acc=0.7143. (Best = 0.7143)

ep=500, lr=0.30, max_depth=9, gamma=0.20, ntree=6, colsample_bytree=1.00: acc=0.6667. (Best = 0.7143)

ep=500, lr=0.30, max_depth=9, gamma=0.20, ntree=9, colsample_bytree=1.00: acc=0.5714. (Best = 0.7143)

